epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4575,1.75771,3.18083,1.8708,0.65681,0.13023,0.20835,0.08877,2.06394,3.55381,2.08133,0.000329114,0.000329114,0.000329114
2,21.5968,1.60295,2.28227,1.69709,0.54173,0.33213,0.29354,0.12894,1.91155,3.54439,2.39472,0.000655889,0.000655889,0.000655889
3,30.6046,1.59629,2.13094,1.67702,0.4181,0.24197,0.27969,0.11895,2.07142,3.26672,2.15369,0.000976064,0.000976064,0.000976064
4,39.5246,1.6149,2.05753,1.68608,0.51245,0.45302,0.35539,0.16292,1.84548,3.29448,2.08745,0.0009703,0.0009703,0.0009703
5,48.4485,1.5711,1.92882,1.64826,0.63238,0.47944,0.50119,0.23219,1.7852,2.30731,1.92011,0.0009604,0.0009604,0.0009604
6,57.337,1.53383,1.85718,1.62864,0.44322,0.51619,0.48779,0.2099,1.87324,2.23251,1.97938,0.0009505,0.0009505,0.0009505
7,66.22,1.53066,1.76979,1.61224,0.5725,0.50204,0.56446,0.27115,1.70969,1.94326,1.86692,0.0009406,0.0009406,0.0009406
8,75.2534,1.52263,1.73396,1.60777,0.5943,0.51524,0.51896,0.2533,1.7845,2.16045,1.90606,0.0009307,0.0009307,0.0009307
9,84.2924,1.4972,1.70893,1.60023,0.68308,0.51725,0.57085,0.28296,1.68282,1.95534,1.79948,0.0009208,0.0009208,0.0009208
10,93.4355,1.48809,1.65487,1.57507,0.54206,0.58516,0.60401,0.28142,1.73125,1.80832,1.85035,0.0009109,0.0009109,0.0009109
11,102.449,1.48141,1.61327,1.57529,0.73529,0.54643,0.63847,0.32823,1.61643,1.78561,1.74234,0.000901,0.000901,0.000901
12,111.551,1.45599,1.62187,1.57296,0.44054,0.51998,0.48383,0.22523,1.93326,2.58387,1.99192,0.0008911,0.0008911,0.0008911
13,120.582,1.42234,1.57271,1.55972,0.68979,0.50762,0.58656,0.29467,1.68492,1.7682,1.83479,0.0008812,0.0008812,0.0008812
14,129.645,1.4278,1.52761,1.54049,0.67132,0.58175,0.65962,0.34556,1.57817,1.60476,1.71915,0.0008713,0.0008713,0.0008713
15,138.719,1.40721,1.51179,1.53097,0.53885,0.59963,0.61275,0.3011,1.72283,1.70411,1.88342,0.0008614,0.0008614,0.0008614
16,147.791,1.43763,1.54061,1.5565,0.54557,0.63351,0.64472,0.33437,1.57091,1.67165,1.70866,0.0008515,0.0008515,0.0008515
17,156.808,1.39128,1.49468,1.52323,0.62788,0.56397,0.64009,0.3337,1.60537,1.62594,1.7111,0.0008416,0.0008416,0.0008416
18,165.916,1.38544,1.45238,1.53467,0.63847,0.6116,0.64462,0.34082,1.60449,1.53877,1.71788,0.0008317,0.0008317,0.0008317
19,175.001,1.39485,1.45509,1.53159,0.57228,0.63073,0.64854,0.33013,1.65534,1.53876,1.73689,0.0008218,0.0008218,0.0008218
20,184.061,1.38894,1.44967,1.52676,0.60573,0.6321,0.65033,0.34299,1.62332,1.5893,1.74154,0.0008119,0.0008119,0.0008119
21,193.129,1.39614,1.43266,1.51625,0.65944,0.61326,0.67715,0.35195,1.62414,1.49069,1.75337,0.000802,0.000802,0.000802
22,202.177,1.37329,1.40954,1.50892,0.64198,0.62996,0.65417,0.33776,1.6503,1.6142,1.82216,0.0007921,0.0007921,0.0007921
23,211.235,1.37528,1.42755,1.52071,0.53502,0.65394,0.64325,0.33665,1.5888,1.54886,1.73866,0.0007822,0.0007822,0.0007822
24,220.264,1.36271,1.38783,1.4974,0.6243,0.62593,0.6845,0.36478,1.60578,1.48697,1.68341,0.0007723,0.0007723,0.0007723
25,229.346,1.34933,1.37146,1.49105,0.6088,0.65207,0.67885,0.35192,1.61838,1.45549,1.71068,0.0007624,0.0007624,0.0007624
26,238.435,1.36919,1.39027,1.49883,0.73052,0.56305,0.66203,0.33858,1.6371,1.5359,1.73204,0.0007525,0.0007525,0.0007525
27,247.591,1.35468,1.36781,1.50066,0.56705,0.68881,0.67788,0.36259,1.53909,1.46292,1.70376,0.0007426,0.0007426,0.0007426
28,256.653,1.33901,1.37927,1.49624,0.77591,0.55196,0.67866,0.37032,1.56012,1.43669,1.69586,0.0007327,0.0007327,0.0007327
29,265.715,1.33781,1.36036,1.47853,0.61128,0.66128,0.68279,0.36908,1.55627,1.46098,1.70198,0.0007228,0.0007228,0.0007228
30,274.792,1.34483,1.32866,1.49317,0.64521,0.5883,0.66678,0.35289,1.62579,1.46317,1.72605,0.0007129,0.0007129,0.0007129
31,283.854,1.33233,1.34364,1.47699,0.59931,0.61392,0.65259,0.33688,1.64344,1.54466,1.75663,0.000703,0.000703,0.000703
32,292.909,1.32019,1.31529,1.46903,0.62434,0.67562,0.69315,0.37081,1.58536,1.39074,1.68143,0.0006931,0.0006931,0.0006931
