epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5912,1.58176,1.63378,1.60243,0.64664,0.62227,0.66745,0.36215,1.67224,1.41348,1.75754,0.000329114,0.000329114,0.000329114
2,21.7107,1.33341,1.15382,1.4069,0.65393,0.65151,0.70101,0.36435,1.59626,1.33704,1.71162,0.000649331,0.000649331,0.000649331
3,30.6431,1.3551,1.24122,1.43932,0.4584,0.56246,0.54534,0.26076,1.80334,1.82258,1.88345,0.000956348,0.000956348,0.000956348
4,39.5904,1.37692,1.25993,1.45497,0.60491,0.67783,0.67791,0.34526,1.72285,1.40327,1.78494,0.0009406,0.0009406,0.0009406
5,48.6625,1.3489,1.2282,1.44657,0.65916,0.68658,0.71604,0.38309,1.59457,1.36994,1.69031,0.0009208,0.0009208,0.0009208
6,57.7777,1.33335,1.24611,1.44286,0.67156,0.67916,0.72378,0.38935,1.56874,1.37732,1.66459,0.000901,0.000901,0.000901
7,66.8673,1.33217,1.21304,1.43781,0.62093,0.69274,0.69357,0.37326,1.58027,1.3572,1.68238,0.0008812,0.0008812,0.0008812
8,76.0881,1.32559,1.20084,1.42604,0.64494,0.68255,0.71583,0.37866,1.5733,1.32927,1.66541,0.0008614,0.0008614,0.0008614
9,85.3131,1.32383,1.21366,1.44778,0.63387,0.60494,0.6411,0.32863,1.69336,1.48932,1.7722,0.0008416,0.0008416,0.0008416
10,94.4748,1.33674,1.23678,1.44872,0.6688,0.67137,0.70369,0.38018,1.57413,1.28872,1.66075,0.0008218,0.0008218,0.0008218
11,103.733,1.31672,1.20323,1.43534,0.6776,0.66543,0.71814,0.39409,1.57117,1.3026,1.7007,0.000802,0.000802,0.000802
12,112.976,1.2891,1.20365,1.41867,0.63436,0.69369,0.71577,0.38732,1.56621,1.27387,1.70486,0.0007822,0.0007822,0.0007822
13,122.175,1.27946,1.16535,1.42009,0.60726,0.6703,0.69338,0.37049,1.64189,1.32465,1.7438,0.0007624,0.0007624,0.0007624
14,131.377,1.27638,1.13583,1.41247,0.68391,0.64024,0.68153,0.36021,1.68272,1.33465,1.75895,0.0007426,0.0007426,0.0007426
15,140.55,1.27255,1.16212,1.40693,0.57017,0.6757,0.67189,0.36736,1.58372,1.37488,1.70355,0.0007228,0.0007228,0.0007228
16,149.764,1.31213,1.19756,1.43151,0.55143,0.67756,0.67295,0.35667,1.65233,1.43917,1.71536,0.000703,0.000703,0.000703
17,158.955,1.27955,1.17458,1.41309,0.6675,0.68319,0.7223,0.39562,1.54421,1.28673,1.65836,0.0006832,0.0006832,0.0006832
18,168.218,1.27037,1.12016,1.42001,0.63657,0.67595,0.68812,0.37999,1.58277,1.27344,1.69596,0.0006634,0.0006634,0.0006634
19,177.573,1.27492,1.11608,1.41102,0.6856,0.62729,0.68617,0.36156,1.63387,1.33202,1.72182,0.0006436,0.0006436,0.0006436
20,186.868,1.2494,1.11153,1.38943,0.66577,0.695,0.70862,0.39476,1.57103,1.27832,1.68249,0.0006238,0.0006238,0.0006238
21,196.07,1.25532,1.11812,1.38702,0.65556,0.6751,0.70328,0.37925,1.53491,1.31449,1.67137,0.000604,0.000604,0.000604
22,205.258,1.23852,1.10605,1.38682,0.66195,0.68319,0.71923,0.38643,1.5856,1.2799,1.68607,0.0005842,0.0005842,0.0005842
23,214.588,1.22617,1.09449,1.38239,0.6562,0.73313,0.74492,0.41886,1.52405,1.21852,1.66618,0.0005644,0.0005644,0.0005644
24,223.819,1.2358,1.0647,1.37371,0.67136,0.71546,0.74282,0.41254,1.5139,1.20694,1.63366,0.0005446,0.0005446,0.0005446
25,232.94,1.22165,1.07885,1.37725,0.67016,0.67804,0.71603,0.40095,1.51307,1.22231,1.66038,0.0005248,0.0005248,0.0005248
26,242.092,1.20902,1.06195,1.3635,0.69623,0.67506,0.72128,0.40339,1.5239,1.21769,1.66759,0.000505,0.000505,0.000505
27,251.336,1.20726,1.06369,1.3667,0.66845,0.67235,0.71425,0.3969,1.54107,1.24882,1.66378,0.0004852,0.0004852,0.0004852
28,260.563,1.19967,1.07014,1.36223,0.65291,0.66778,0.70136,0.36164,1.65242,1.31031,1.70967,0.0004654,0.0004654,0.0004654
29,269.684,1.20651,1.04875,1.35205,0.69903,0.71145,0.73982,0.39779,1.5677,1.18536,1.67228,0.0004456,0.0004456,0.0004456
30,279.156,1.19222,1.02337,1.35723,0.70498,0.70836,0.75137,0.42763,1.50673,1.16545,1.63284,0.0004258,0.0004258,0.0004258
31,288.501,1.18385,1.01356,1.34674,0.69392,0.70029,0.72668,0.4128,1.55332,1.21004,1.69452,0.000406,0.000406,0.000406
32,297.813,1.17426,1.00538,1.34576,0.69022,0.70248,0.72815,0.40654,1.5594,1.19799,1.67143,0.0003862,0.0003862,0.0003862
33,307.16,1.18211,1.02201,1.3476,0.66586,0.71727,0.73338,0.40531,1.56089,1.19972,1.69808,0.0003664,0.0003664,0.0003664
34,316.389,1.17144,0.98254,1.33967,0.68121,0.70828,0.73894,0.41479,1.52351,1.17184,1.67516,0.0003466,0.0003466,0.0003466
