epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0818,1.47545,1.66534,1.76452,0.62932,0.59129,0.62831,0.28738,1.87783,1.56371,2.05305,0.000329114,0.000329114,0.000329114
2,21.1455,1.26849,1.19481,1.53212,0.57552,0.54023,0.55484,0.24331,2.04602,1.69588,2.16267,0.000649331,0.000649331,0.000649331
3,30.1914,1.28323,1.23101,1.51145,0.61581,0.63744,0.66697,0.34216,1.70033,1.43964,1.86424,0.000956348,0.000956348,0.000956348
4,39.1523,1.28378,1.19278,1.48749,0.59943,0.69097,0.68911,0.36102,1.6342,1.4097,1.82703,0.0009406,0.0009406,0.0009406
5,48.0266,1.2855,1.21303,1.49272,0.63139,0.69905,0.70524,0.37845,1.54908,1.3903,1.77529,0.0009208,0.0009208,0.0009208
6,57.1411,1.3003,1.25192,1.50412,0.54612,0.56645,0.57781,0.2855,1.76767,1.65057,1.91649,0.000901,0.000901,0.000901
7,66.4283,1.29001,1.22112,1.48754,0.63525,0.67108,0.70626,0.38404,1.55454,1.31957,1.7335,0.0008812,0.0008812,0.0008812
8,75.6974,1.29288,1.21094,1.47871,0.66688,0.64764,0.69605,0.36571,1.60236,1.3867,1.77878,0.0008614,0.0008614,0.0008614
9,85.0278,1.27131,1.20547,1.47852,0.65798,0.63443,0.69647,0.36408,1.65837,1.3614,1.82102,0.0008416,0.0008416,0.0008416
10,94.2913,1.273,1.19628,1.46882,0.64284,0.6694,0.7001,0.37563,1.57848,1.34261,1.76804,0.0008218,0.0008218,0.0008218
11,103.572,1.22824,1.12784,1.43234,0.61043,0.70514,0.71467,0.38723,1.57901,1.30211,1.75691,0.000802,0.000802,0.000802
12,112.794,1.25349,1.17006,1.44356,0.52535,0.64039,0.63242,0.31086,1.75725,1.51282,1.84865,0.0007822,0.0007822,0.0007822
13,122.003,1.25381,1.16142,1.44471,0.61526,0.68579,0.69598,0.37065,1.61944,1.3478,1.78909,0.0007624,0.0007624,0.0007624
14,131.309,1.24428,1.13083,1.43065,0.59693,0.70937,0.69715,0.36942,1.5926,1.3093,1.7686,0.0007426,0.0007426,0.0007426
15,140.518,1.23336,1.13985,1.42596,0.59304,0.62915,0.65607,0.3369,1.66745,1.43625,1.8184,0.0007228,0.0007228,0.0007228
16,149.748,1.25849,1.1706,1.44959,0.61783,0.66446,0.68867,0.36947,1.55958,1.35799,1.74383,0.000703,0.000703,0.000703
17,159.065,1.23058,1.12933,1.42408,0.637,0.69502,0.70561,0.38398,1.59203,1.28128,1.74428,0.0006832,0.0006832,0.0006832
18,168.49,1.23936,1.12938,1.44186,0.68353,0.64752,0.70383,0.3744,1.62108,1.29039,1.75521,0.0006634,0.0006634,0.0006634
19,177.73,1.24236,1.11004,1.43718,0.61401,0.68224,0.71057,0.39045,1.57185,1.32072,1.73061,0.0006436,0.0006436,0.0006436
20,186.961,1.19477,1.0774,1.401,0.67363,0.6633,0.70165,0.39107,1.59359,1.29576,1.74266,0.0006238,0.0006238,0.0006238
21,196.428,1.20858,1.07943,1.40769,0.64837,0.68684,0.70085,0.38149,1.53859,1.26175,1.74195,0.000604,0.000604,0.000604
22,205.726,1.1923,1.07609,1.40097,0.66227,0.70084,0.73236,0.40525,1.52252,1.23308,1.68812,0.0005842,0.0005842,0.0005842
23,215.037,1.18799,1.0575,1.39873,0.65445,0.68129,0.69069,0.38273,1.5709,1.26747,1.75248,0.0005644,0.0005644,0.0005644
24,224.368,1.17662,1.0359,1.38545,0.6768,0.71183,0.73483,0.4094,1.53908,1.21873,1.69429,0.0005446,0.0005446,0.0005446
25,233.719,1.16195,1.03939,1.38105,0.71121,0.64969,0.72021,0.3898,1.54668,1.25823,1.70871,0.0005248,0.0005248,0.0005248
26,242.985,1.1719,1.0401,1.37417,0.66005,0.716,0.72546,0.39517,1.54645,1.27121,1.71487,0.000505,0.000505,0.000505
27,252.33,1.17555,1.04313,1.38587,0.65875,0.69683,0.72437,0.39865,1.54299,1.216,1.7251,0.0004852,0.0004852,0.0004852
28,261.711,1.15151,1.04028,1.37196,0.70678,0.67261,0.7237,0.40861,1.51133,1.23735,1.68052,0.0004654,0.0004654,0.0004654
29,270.951,1.14157,0.99774,1.35619,0.67186,0.69274,0.73589,0.41633,1.50822,1.18751,1.68367,0.0004456,0.0004456,0.0004456
30,280.189,1.14539,0.97743,1.36402,0.63545,0.72205,0.70771,0.39741,1.5565,1.22388,1.73093,0.0004258,0.0004258,0.0004258
31,289.498,1.12751,0.98927,1.3475,0.67282,0.71386,0.73189,0.41385,1.53484,1.17769,1.71462,0.000406,0.000406,0.000406
32,298.773,1.13352,0.97494,1.34901,0.71557,0.66691,0.73588,0.41294,1.54171,1.16551,1.69642,0.0003862,0.0003862,0.0003862
33,308.037,1.13319,0.98215,1.35551,0.69573,0.67558,0.71444,0.40833,1.57045,1.21571,1.74395,0.0003664,0.0003664,0.0003664
34,317.424,1.12547,0.97476,1.35292,0.69527,0.6934,0.73312,0.4144,1.52366,1.15854,1.70595,0.0003466,0.0003466,0.0003466
35,326.686,1.11788,0.95542,1.34307,0.67788,0.71865,0.74481,0.41975,1.5221,1.15109,1.70183,0.0003268,0.0003268,0.0003268
36,335.936,1.10435,0.94794,1.33284,0.70133,0.68061,0.73525,0.41855,1.52762,1.16377,1.70879,0.000307,0.000307,0.000307
37,345.229,1.09057,0.93827,1.32323,0.67855,0.72139,0.74503,0.41928,1.54172,1.13861,1.70452,0.0002872,0.0002872,0.0002872
38,354.586,1.09457,0.94961,1.32835,0.68552,0.71559,0.74078,0.42535,1.53096,1.14457,1.70708,0.0002674,0.0002674,0.0002674
39,363.894,1.08394,0.9107,1.32781,0.7233,0.71172,0.74506,0.42227,1.53939,1.12331,1.71104,0.0002476,0.0002476,0.0002476
40,373.113,1.08978,0.92832,1.32353,0.71414,0.70194,0.75961,0.43881,1.49555,1.12138,1.69123,0.0002278,0.0002278,0.0002278
41,424.627,1.1067,0.91087,1.36751,0.69438,0.72067,0.73459,0.41861,1.52095,1.14284,1.73607,0.000208,0.000208,0.000208
42,433.824,1.06599,0.83915,1.32902,0.68988,0.69557,0.72512,0.40866,1.54796,1.17143,1.74358,0.0001882,0.0001882,0.0001882
43,443.275,1.042,0.81753,1.32884,0.71873,0.70515,0.74581,0.42509,1.51861,1.14148,1.7252,0.0001684,0.0001684,0.0001684
44,452.617,1.02825,0.7877,1.31817,0.7436,0.6883,0.75918,0.42807,1.51327,1.15241,1.70884,0.0001486,0.0001486,0.0001486
45,461.938,1.0215,0.79072,1.31757,0.72967,0.71136,0.75719,0.43106,1.51973,1.11708,1.72003,0.0001288,0.0001288,0.0001288
46,471.301,0.98869,0.76714,1.28771,0.69246,0.72934,0.74564,0.41961,1.54547,1.14398,1.75333,0.000109,0.000109,0.000109
47,480.686,0.98784,0.75739,1.28984,0.68345,0.75096,0.75636,0.43438,1.49712,1.10876,1.7183,8.92e-05,8.92e-05,8.92e-05
48,489.983,0.98503,0.74928,1.29773,0.71554,0.73802,0.76875,0.43687,1.48988,1.10821,1.71172,6.94e-05,6.94e-05,6.94e-05
49,499.319,0.98003,0.73056,1.27667,0.71044,0.73861,0.76804,0.43744,1.51011,1.10331,1.71959,4.96e-05,4.96e-05,4.96e-05
